date,price
2019-04-16,1279.0
2019-04-17,1279.0
2019-04-18,1279.0
2019-04-19,1279.0
2019-04-20,1279.0
2019-04-21,1279.0
2019-04-22,1279.0
2019-04-23,1279.0
2019-04-24,1279.0
2019-04-25,1279.0
2019-04-26,1279.0
2019-04-27,1279.0
2019-04-28,1279.0
2019-04-29,1279.0
2019-04-30,1279.0
2019-05-01,1279.0
2019-05-02,1279.0
2019-05-03,1279.0
2019-05-04,1279.0
2019-05-05,1279.0
2019-05-06,1279.0
2019-05-07,1279.0
2019-05-08,1279.0
2019-05-09,1279.0
2019-05-10,1279.0
2019-05-11,1279.0
2019-05-12,1279.0
2019-05-13,1279.0
2019-05-14,1279.0
2019-05-15,1279.0
2019-05-16,1279.0
2019-05-17,1279.0
2019-05-18,1279.0
2019-05-19,1279.0
2019-05-20,1279.0
2019-05-21,1279.0
2019-05-22,1279.0
2019-05-23,1279.0
2019-05-24,1279.0
2019-05-25,1279.0
2019-05-26,1279.0
2019-05-27,1279.0
2019-05-28,1279.0
2019-05-29,1279.0
2019-05-30,1279.0
2019-05-31,1279.0
2019-06-01,1279.0
2019-06-02,1279.0
2019-06-03,1279.0
2019-06-04,1279.0
2019-06-05,1279.0
2019-06-06,1279.0
2019-06-07,1279.0
2019-06-08,1279.0
2019-06-09,1279.0
2019-06-10,1279.0
2019-06-11,1279.0
2019-06-12,1279.0
2019-06-13,1279.0
2019-06-14,1279.0
2019-06-15,1279.0
2019-06-16,1279.0
2019-06-17,1279.0
2019-06-18,1149.0
2019-06-19,1149.0
2019-06-20,1149.0
2019-06-21,1149.0
2019-06-22,1149.0
2019-06-23,1149.0
2019-06-24,1149.0
2019-06-25,1149.0
2019-06-26,1149.0
2019-06-27,1149.0
2019-06-28,1149.0
2019-06-29,1149.0
2019-06-30,1149.0
2019-07-01,1149.0
2019-07-02,1149.0
2019-07-03,1149.0
2019-07-04,1149.0
2019-07-05,1149.0
2019-07-06,1149.0
2019-07-07,1149.0
2019-07-08,1166.0
2019-07-09,1149.0
2019-07-10,1107.0
2019-07-11,1107.0
2019-07-12,1080.0
2019-07-13,1107.0
2019-07-14,1107.0
2019-07-15,1080.0
2019-07-16,1080.0
2019-08-06,1119.0
2019-08-07,1119.0
2019-08-08,1119.0
2019-08-09,1119.0
2019-08-10,1119.0
2019-08-11,1119.0
2019-08-12,1119.0
2019-08-13,1119.0
2019-08-14,1119.0
2019-08-15,1119.0
2019-08-19,1102.0
2019-08-19,1095.0
2019-08-20,1095.0
2019-08-21,1114.0
2019-08-22,1114.0
2019-08-23,1114.0
2019-08-24,1149.0
2019-08-25,1149.0
2019-08-26,1149.0
2019-08-27,1149.0
2019-08-28,1149.0
2019-08-29,1149.0
2019-08-30,1149.0
2019-08-31,1149.0
2019-09-01,1149.0
2019-09-02,1149.0
2019-09-03,1149.0
2019-09-04,96.2
2019-09-05,1149.0
2019-09-06,1149.0
2019-09-07,1149.0
2019-09-08,1149.0
2019-09-09,1149.0
2019-09-10,1149.0
2019-09-11,1049.0
2019-09-12,1049.0
2019-09-13,1079.0
2019-09-14,1079.0
2019-09-15,1079.0
2019-09-16,1079.0
2019-09-17,1079.0
2019-09-18,1079.0
2019-09-19,1138.0
2019-09-20,1138.0
2019-09-21,1111.0
2019-09-22,1111.0
2019-09-23,1111.0
2019-09-24,1110.0
2019-09-25,1110.0
2019-09-26,1108.0
2019-09-27,1138.0
2019-09-28,1138.0
2019-09-29,1106.0
2019-09-30,1106.0
2019-10-01,1138.0
2019-10-02,1138.0
2019-10-03,1089.0
2019-10-04,70.8
2019-10-05,1089.0
2019-10-06,1089.0
2019-10-07,1089.0
2019-10-08,1089.0
2019-10-09,1089.0
2019-10-10,1089.0
2019-10-11,1138.0
2019-10-12,1138.0
2019-10-13,1138.0
2019-10-14,1138.0
2019-10-15,1138.0
2019-10-16,1138.0
2019-10-17,1138.0
2019-10-18,1138.0
2019-10-19,1138.0
2019-10-20,1138.0
2019-10-21,1138.0
2019-10-22,1138.0
2019-10-23,1138.0
2019-10-24,1124.0
2019-10-25,1130.0
2019-10-26,1130.0
2019-10-27,1130.0
2019-10-28,1130.0
2019-10-29,1130.0
2019-10-30,1138.0
2019-10-31,1138.0
2019-11-01,1138.0
2019-11-02,1138.0
2019-11-03,1138.0
2019-11-04,1138.0
2019-11-05,1138.0
2019-11-06,1138.0
2019-11-07,1140.0
2019-11-08,1140.0
2019-11-09,1140.0
2019-11-10,1140.0
2019-11-11,1140.0
2019-11-12,1140.0
2019-11-13,1140.0
2019-11-14,1140.0
2019-11-15,1140.0
2019-11-16,1140.0
