date,price
2017-06-10,4.45
2017-06-11,4.45
2017-06-12,4.45
2017-06-13,4.45
2017-06-14,4.45
2017-06-15,4.45
2017-06-16,4.45
2017-06-17,4.45
2017-06-18,4.45
2017-06-19,4.45
2017-06-20,4.45
2017-06-22,4.45
2017-06-23,4.45
2017-06-24,4.45
2017-06-25,4.45
2017-06-26,4.45
2017-06-27,4.45
2017-06-28,4.45
2017-06-29,4.45
2017-06-30,4.45
2017-07-01,4.45
2017-07-02,4.45
2017-07-03,4.45
2017-07-04,4.45
2017-07-05,4.45
2017-07-06,4.45
2017-07-07,4.45
2017-07-08,4.45
2017-07-09,4.45
2017-07-10,4.45
2017-07-11,4.45
2017-07-12,4.45
2017-07-14,4.45
2017-07-15,4.45
2017-07-16,4.45
2017-07-17,4.45
2017-07-18,4.45
2017-07-19,4.45
2017-07-20,4.45
2017-07-21,4.45
2017-07-22,4.45
2017-07-23,4.45
2017-07-24,4.45
2017-07-25,4.45
2017-07-26,4.45
2017-07-29,4.45
2017-07-30,4.45
2017-07-31,4.45
2017-08-01,4.45
2017-08-02,4.45
