id,title,lastprice,image
d.295351,"Netgear GS108GE",38.4,https://static.digitecgalaxus.ch/Files/1/4/8/2/7/6/4/3/Netgear-Netzwerk-Switch-RJ45-GS108GE-8-Port-1-GBit-s.jpg?fit=inside%7C240:240&output-format=progressive-jpeg
d.5721031,"Intel Skull Canyon NUC6i7KYK (Intel Core i7-6770HQ, HDMI, USB 3.0 type A)",596.0,https://static.digitecgalaxus.ch/Files/5/9/7/2/0/4/5/SkullCanyon-NUC-frontangle.jpg?fit=inside%7C240:240&output-format=progressive-jpeg
g.3483031,"Artemide Melampo Notte",197.0,https://static.digitecgalaxus.ch/Files/5/3/5/6/8/4/6/Melampo-Notte-frei.jpg?fit=inside%7C240:240&output-format=progressive-jpeg
g.5751207,"Dyson Pure Cool Link Desk (Table fan, Timer, 40W)",599.0,https://static.digitecgalaxus.ch/Files/5/8/3/4/1/1/0/Dyson%20pure%20cool%20link%20Tisch-Luftreiniger%201-1.jpg?fit=inside%7C240:240&output-format=progressive-jpeg
g.5274255,"boskke Sky Planter Medium (20cm, 14cm)",0.0,https://static.digitecgalaxus.ch/Files/4/7/9/1/5/9/7/71bznCEyDhL._SL1500_.jpg?fit=inside%7C240:240&output-format=progressive-jpeg
g.4681525,"Calex Clear LL Goldline-filament Lamp (E27, 130lm, 40W)",0.0,https://static.digitecgalaxus.ch/Files/5/1/7/3/3/1/5/442418.jpg?fit=inside%7C240:240&output-format=progressive-jpeg
g.6085161,"Bloomingville Bodenleuchte (40cm)",49.8,https://static.digitecgalaxus.ch/Files/7/2/2/0/2/3/8/ImageHandler.ashx?fit=inside%7C240:240&output-format=progressive-jpeg
d.770781,"Kingston Value RAM (1x, 8GB, DDR3L-1600 (PC3-12800), SODIMM 204)",70.1,https://static.digitecgalaxus.ch/Files/1/1/6/1/6/3/4/81BKF8yu9NL._SL1500_.jpg?fit=inside%7C240:240&output-format=progressive-jpeg
g.5725861,"Pampers Premium Protection (size 1, 72Piece, giga-pack)",0.0,https://static.digitecgalaxus.ch/Files/1/2/3/5/8/6/3/3/0034482_4015400849087___0_4.jpg?fit=inside%7C240:240&output-format=progressive-jpeg
g.235833,"Windhager Halte-Öse",9.95,https://static.digitecgalaxus.ch/Files/7/3/6/7/7/1/7/WHG10912-91994_1.jpg?fit=inside%7C240:240&output-format=progressive-jpeg
g.360789,"Canon PGI-550PGBKXL (PGBK, Ink)",21.5,https://static.digitecgalaxus.ch/Files/6/3/7/2/2/0/6/tinte-canon-6431b001-pgi-550pgbk-xl-pigment-black-001.xxl.jpg?fit=inside%7C240:240&output-format=progressive-jpeg
d.5920864,"Sandisk Extreme SDXC U3 (64GB, Class 10)",46.9,https://static.digitecgalaxus.ch/Files/6/5/5/4/5/2/6/1472661366000_1275611.jpg?fit=inside%7C240:240&output-format=progressive-jpeg
g.5880568,"Pampers Premium Protection (size 1, 288Piece, monthly box)",0.0,https://static.digitecgalaxus.ch/Files/1/2/3/5/8/6/6/7/0034482_4015400849087___0_4.jpg?fit=inside%7C240:240&output-format=progressive-jpeg
g.3492407,"Boland Bora Bora",0.0,https://static.digitecgalaxus.ch/Files/8/4/9/1/0/6/2/82550425.jpg?fit=inside%7C240:240&output-format=progressive-jpeg
